Country,date,vaccine,total_vaccinations
France,2021/4/10,Pfizer/BioNTech,10622533
France,2021/4/11,Moderna,1109629
France,2021/4/11,Oxford/AstraZeneca,3047939
France,2021/4/11,Pfizer/BioNTech,10693243
France,2021/4/12,Moderna,1137843
France,2021/4/12,Oxford/AstraZeneca,3099356
France,2021/4/12,Pfizer/BioNTech,10964400
France,2021/4/13,Moderna,1173558
France,2021/4/13,Oxford/AstraZeneca,3185617
France,2021/4/13,Pfizer/BioNTech,11295145
France,2021/4/14,Moderna,1207690
France,2021/4/14,Oxford/AstraZeneca,3253472
France,2021/4/14,Pfizer/BioNTech,11624880
France,2021/4/15,Moderna,1250484
France,2021/4/15,Oxford/AstraZeneca,3346661
France,2021/4/15,Pfizer/BioNTech,11971403
France,2021/4/16,Moderna,1291143
France,2021/4/16,Oxford/AstraZeneca,3459445
France,2021/4/16,Pfizer/BioNTech,12301632
France,2021/4/17,Moderna,1326752
France,2021/4/17,Oxford/AstraZeneca,3512885
France,2021/4/17,Pfizer/BioNTech,12490567
France,2021/4/18,Moderna,1346998
France,2021/4/18,Oxford/AstraZeneca,3522533
France,2021/4/18,Pfizer/BioNTech,12547127
France,2021/4/19,Moderna,1379883
France,2021/4/19,Oxford/AstraZeneca,3547626
France,2021/4/19,Pfizer/BioNTech,12832010
France,2021/4/20,Moderna,1420574
France,2021/4/20,Oxford/AstraZeneca,3593393
France,2021/4/20,Pfizer/BioNTech,13169044
France,2021/4/21,Moderna,1462323
France,2021/4/21,Oxford/AstraZeneca,3632524
France,2021/4/21,Pfizer/BioNTech,13508788
France,2021/4/22,Moderna,1510767
France,2021/4/22,Oxford/AstraZeneca,3687775
France,2021/4/22,Pfizer/BioNTech,13879491
France,2021/4/23,Johnson&Johnson,3000
France,2021/4/23,Moderna,1560511
France,2021/4/23,Oxford/AstraZeneca,3759049
France,2021/4/23,Pfizer/BioNTech,14234589
France,2021/4/24,Johnson&Johnson,4559
France,2021/4/24,Moderna,1600791
France,2021/4/24,Oxford/AstraZeneca,3797083
France,2021/4/24,Pfizer/BioNTech,14455693
France,2021/4/25,Johnson&Johnson,4682
France,2021/4/25,Moderna,1618920
France,2021/4/25,Oxford/AstraZeneca,3803311
France,2021/4/25,Pfizer/BioNTech,14539021
France,2021/4/26,Johnson&Johnson,7536
France,2021/4/26,Moderna,1653131
France,2021/4/26,Oxford/AstraZeneca,3823492
France,2021/4/26,Pfizer/BioNTech,14857739
France,2021/4/27,Johnson&Johnson,17000
France,2021/4/27,Moderna,1696566
France,2021/4/27,Oxford/AstraZeneca,3858935
France,2021/4/27,Pfizer/BioNTech,15240246
France,2021/4/28,Johnson&Johnson,26850
France,2021/4/28,Moderna,1745015
France,2021/4/28,Oxford/AstraZeneca,3889605
France,2021/4/28,Pfizer/BioNTech,15633277
France,2021/4/29,Johnson&Johnson,42811
France,2021/4/29,Moderna,1800485
France,2021/4/29,Oxford/AstraZeneca,3940703
France,2021/4/29,Pfizer/BioNTech,16062837
France,2021/4/30,Johnson&Johnson,61999
France,2021/4/30,Moderna,1853687
France,2021/4/30,Oxford/AstraZeneca,4004891
France,2021/4/30,Pfizer/BioNTech,16482052
France,2021/5/1,Johnson&Johnson,63955
France,2021/5/1,Moderna,1878418
France,2021/5/1,Oxford/AstraZeneca,4016227
France,2021/5/1,Pfizer/BioNTech,16661798
France,2021/5/2,Johnson&Johnson,64417
France,2021/5/2,Moderna,1894172
France,2021/5/2,Oxford/AstraZeneca,4019660
France,2021/5/2,Pfizer/BioNTech,16770807
France,2021/5/3,Johnson&Johnson,69415
France,2021/5/3,Moderna,1933333
France,2021/5/3,Oxford/AstraZeneca,4036387
France,2021/5/3,Pfizer/BioNTech,17165997
France,2021/5/4,Johnson&Johnson,77738
France,2021/5/4,Moderna,1980514
France,2021/5/4,Oxford/AstraZeneca,4067649
France,2021/5/4,Pfizer/BioNTech,17616934
France,2021/5/5,Johnson&Johnson,83827
France,2021/5/5,Moderna,2028033
