,location,date,vaccine,total_vaccinations
16186,European Union,2021/2/6,Pfizer/BioNTech,17185012
16187,European Union,2021/2/6,Sinopharm/Beijing,0
16188,European Union,2021/2/6,Sputnik V,0
16189,European Union,2021/2/7,Johnson&Johnson,62
16190,European Union,2021/2/7,Moderna,377422
16191,European Union,2021/2/7,Oxford/AstraZeneca,3707
16192,European Union,2021/2/7,Pfizer/BioNTech,17296873
16193,European Union,2021/2/7,Sinopharm/Beijing,0
16194,European Union,2021/2/7,Sputnik V,0
16195,European Union,2021/2/8,Johnson&Johnson,64
16196,European Union,2021/2/8,Moderna,396786
16197,European Union,2021/2/8,Oxford/AstraZeneca,6453
16198,European Union,2021/2/8,Pfizer/BioNTech,17594155
16199,European Union,2021/2/8,Sinopharm/Beijing,0
16200,European Union,2021/2/8,Sputnik V,0
16201,European Union,2021/2/9,Johnson&Johnson,64
16202,European Union,2021/2/9,Moderna,418636
16203,European Union,2021/2/9,Oxford/AstraZeneca,13388
16204,European Union,2021/2/9,Pfizer/BioNTech,17960501
16205,European Union,2021/2/9,Sinopharm/Beijing,0
16206,European Union,2021/2/9,Sputnik V,0
16207,European Union,2021/2/10,Johnson&Johnson,65
16208,European Union,2021/2/10,Moderna,441096
16209,European Union,2021/2/10,Oxford/AstraZeneca,31671
16210,European Union,2021/2/10,Pfizer/BioNTech,18355146
16211,European Union,2021/2/10,Sinopharm/Beijing,0
16212,European Union,2021/2/10,Sputnik V,0
16213,European Union,2021/2/11,Johnson&Johnson,67
16214,European Union,2021/2/11,Moderna,469065
16215,European Union,2021/2/11,Oxford/AstraZeneca,65787
16216,European Union,2021/2/11,Pfizer/BioNTech,18760714
16217,European Union,2021/2/11,Sinopharm/Beijing,0
16218,European Union,2021/2/11,Sputnik V,0
16219,European Union,2021/2/12,Johnson&Johnson,71
16220,European Union,2021/2/12,Moderna,625698
16221,European Union,2021/2/12,Oxford/AstraZeneca,275049
16222,European Union,2021/2/12,Pfizer/BioNTech,20989753
16223,European Union,2021/2/12,Sinopharm/Beijing,0
16224,European Union,2021/2/12,Sputnik V,2385
16225,European Union,2021/2/13,Johnson&Johnson,72
16226,European Union,2021/2/13,Moderna,640189
16227,European Union,2021/2/13,Oxford/AstraZeneca,298055
16228,European Union,2021/2/13,Pfizer/BioNTech,21194496
